fake_acctcode,segment,refresh_month,opt_in_date,fuel_only_parent_acct,cli_amount,fleetcor_open_datex,cityx,statex,zipx,term_daysx,due_daysx,lock_daysx,credit_limitx,lock_codex,lock_reasonx,lock_typex,deposit_flagx,portfolio,lob_reportingx,fleetcor_open_datey,cityy,statey,zipy,term_daysy,due_daysy,lock_daysy,credit_limity,lock_codey,lock_reasony,lock_typey,deposit_flagy,porfolio,lob_reportingy,snapshot_date,current_balance,unbilled_balance,days_past_due,bal_1_30,bal_31_60,bal_61_90,bal_90_plus,yearmonthx,ccs_grade,paydex,yearmonthy,nsf_amount,nsf_pmts,yearmonthxx,payment_amount,no_of_payment,yearmonthyy,credit_limitxx,fuel_net_rev,nonfuel_net_rev,net_fee_rev,tot_net_rev,yearmonthxxx,credit_limityy,gallons,fuel_spend,nonfuel_spend,tot_spend,quarter_refreshed,vantage_score,yearmonthyyy,wo_amount
315325,50,202208,19-04-2023,0,6000,01-12-2017 13:53,HUMBLE,TX,77346,7,6,3,3500,Y,UNLOCKED,UNLOCKED,0,UNMC,NAL MC,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,NA,0,0,0,0,0,0,0,Unknown,Unknown,0,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
231143,24,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,26-07-2022 11:00,FRANKLINTON,NC,27525,14,10,9,0,M,NSF,TEMP LOCK,0,Fuelman,Fuelman,01-10-2022,15,73.93,10,2068.26,0,0,0,202210,X,0,Unknown,0,0,202210,2157.19,1,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
223406,60,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,27-04-2022 10:46,AKRON,OH,44305,7,7,10,2000,M,BAD AGENCY,PERM LOCK,0,BP,NAP,01-10-2022,0,0,67,340,597.25,75,0,202210,C2,76,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,202301,1012.25
133781,60,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,22-01-2022 08:41,HOUSTON,TX,77057,30,14,10,600,I,BAD AGENCY,PERM LOCK,1,BPMC,NAP,01-10-2022,0,0,86,0,85,600,0,202210,D,65,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,202211,685
217492,30,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,22-02-2022 10:40,LA CROSSE,WI,54601,7,7,5,500,U,Unknown,UNLOCKED,0,Kwik Trip,NAP,01-10-2022,0,135.69,4,48.83,0,0,0,202210,A,0,Unknown,0,0,202210,849.56,3,202309,500,0,0,90.94,90.94,202210,500,217.02,818.6,9,827.6,2022Q4,0,Unknown,0
186145,7,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,03-03-2020 12:28,WHITE POST,VA,22663,14,10,7,0,M,NSF,TEMP LOCK,0,Fuelman,Fuelman,01-10-2022,0,0,0,0,0,0,0,202210,F,31,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
118314,7,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,12-05-2021 08:34,HAWKS,MI,49743,7,7,10,11808,I,BAD AGENCY,PERM LOCK,0,FMMC,NAL MC,01-10-2022,0,0,0,0,0,0,0,202210,F,60,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
309182,0,Unknown,07-10-2019,262306,25000,23-09-2019 10:43,MENIFEE,CA,92584,30,16,10,25000,Q,INACTIVE,PERM LOCK,0,ARMC,NAP,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,NA,0,0,0,0,0,0,0,Unknown,Unknown,0,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
194661,29,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,16-04-2021 11:15,MOBILE,AL,36619,30,10,16,14500,U,Unknown,UNLOCKED,0,Fuelman,Fuelman,01-10-2022,0,2877.94,0,0,0,0,0,202210,X,0,Unknown,0,0,202210,4006.66,1,202210,14500,95.42,0,943.32,1038.74,202210,14500,771.739,3168.85,0,3168.85,2022Q3,718,Unknown,0
129287,5,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,05-11-2021 08:03,CHEYENNE,WY,82001,30,15,10,15000,B,Fraud / Suspicious Activity,PERM LOCK,0,FMMC,NAL MC,01-10-2022,0,0,0,0,0,0,0,202210,A,80,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
126822,8,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,02-10-2021 11:07,SOUTHFIELD,MI,48034,7,5,3,1300,Q,INACTIVE,PERM LOCK,0,BPMC,NAP,01-10-2022,0,0,0,0,0,0,0,202210,B,0,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,2022Q3,629,Unknown,0
207708,4,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,19-10-2021 10:38,APPLE VALLEY,CA,92307,30,10,11,2000,M,Inactive,PERM LOCK,0,Fuelman,Fuelman,01-10-2022,0,105.18,0,0,0,0,0,202211,C1,74,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,2022Q3,0,202302,7.71
181693,11,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,15-03-2019 11:19,SANFORD,NC,27330,30,15,16,4800,U,Unknown,UNLOCKED,1,BP,NAP,01-10-2022,0,473.76,0,0,0,0,0,202211,A,80,Unknown,0,0,202210,1127.78,2,202210,4800,-5.85,0,10,4.15,202210,4800,253.835,908.38,0,908.38,2022Q3,844,Unknown,0
123775,4,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,18-08-2021 09:54,UPPER MARLBORO,MD,20774,30,14,18,500,I,BAD AGENCY,PERM LOCK,0,BPMC,NAP,01-10-2022,0,0,0,0,0,0,0,202210,F,47,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
186607,3,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,30-04-2020 11:21,FOND DU LAC,WI,54935,14,10,10,600,U,Unknown,UNLOCKED,1,Kwik Trip,NAP,01-10-2022,0,159.4,1,48.73,0,0,0,202210,A,60,Unknown,0,0,202210,666,3,202210,600,0,0,1.19,1.19,202210,600,165.121,625.12,0,625.12,2022Q3,808,Unknown,0
183074,29,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,27-06-2019 15:36,STEVENSVILLE,MI,49127,14,10,10,0,M,OTHER,PERM LOCK,0,Fuelman,Fuelman,01-10-2022,0,583.4,0,0,0,0,0,202210,X,51,Unknown,0,0,202210,771.47,1,202210,0,157.91,0,487.13,645.04,202210,0,435.564,1846.53,0,1846.53,2022Q3,754,Unknown,0
